source_dataset,source_dataset_id,program_year,program_type,ce_id,ce_name,county,region,claim_date,total_meals,reimbursement_amount,reimbursement_per_meal,data_quality_flags
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00159,SANTA ROSA ISD,CAMERON,5,2019-05-01T00:00:00.000,5540,15866.85,2.8640523465703973,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00159,SANTA ROSA ISD,CAMERON,5,2019-06-01T00:00:00.000,3197,9244.08,2.891485767907413,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00161,PITTSBURG ISD,CAMP,2,2019-06-01T00:00:00.000,1738,4890.57,2.8139067894131182,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00165,ATLANTA ISD,CASS,2,2019-06-01T00:00:00.000,7782,21875.98,2.811099974299666,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00165,ATLANTA ISD,CASS,2,2019-07-01T00:00:00.000,2383,6907.9,2.8988250104909774,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00167,HUGHES SPRINGS ISD,CASS,2,2019-06-01T00:00:00.000,683,2110.37,3.089853587115666,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00170,DIMMITT ISD,CASTRO,1,2019-05-01T00:00:00.000,308,905.37,2.939512987012987,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00170,DIMMITT ISD,CASTRO,1,2019-06-01T00:00:00.000,1971,5719.19,2.9016692034500253,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00173,ANAHUAC ISD,CHAMBERS,3,2019-06-01T00:00:00.000,2190,6537.85,2.9853196347031967,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00173,ANAHUAC ISD,CHAMBERS,3,2019-07-01T00:00:00.000,273,834.6,3.0571428571428574,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00175,EAST CHAMBERS ISD,CHAMBERS,3,2019-06-01T00:00:00.000,3264,9292.46,2.846954656862745,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00175,EAST CHAMBERS ISD,CHAMBERS,3,2019-07-01T00:00:00.000,1284,3884.3,3.0251557632398756,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00175,EAST CHAMBERS ISD,CHAMBERS,3,2019-08-01T00:00:00.000,1249,3833.3,3.069095276220977,ok
