programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,9,3,6,2021-02-01T00:00:00.000,16537,0,23352,0,0,37042.8800,0.0000,91306.3200,0.0000,0.0000,13195.4200,141544.6200
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,7,1,6,2021-03-01T00:00:00.000,22468,0,31643,0,0,50328.3200,0.0000,123724.1300,0.0000,0.0000,17893.6500,191946.1000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,7,1,6,2021-04-01T00:00:00.000,25501,0,35883,0,0,57122.2400,0.0000,140302.5300,0.0000,0.0000,20296.2900,217721.0600
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,7,1,6,2021-05-01T00:00:00.000,24068,0,33621,0,0,53912.3200,0.0000,131458.1100,0.0000,0.0000,19055.6900,204426.1200
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,5,4,1,2021-06-01T00:00:00.000,3804,0,4266,0,0,8520.9600,0.0000,16680.0600,0.0000,0.0000,2584.7900,27785.8100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,5,4,1,2021-07-01T00:00:00.000,2683,0,3251,0,0,6009.9200,0.0000,12711.4100,0.0000,0.0000,1921.7500,20643.0800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00140,BURNET CONS ISD,Educational Institution,School Food Authority,13,4,027-903,BURNET,4,3,1,2021-08-01T00:00:00.000,472,0,570,0,0,1057.2800,0.0000,2228.7000,0.0000,0.0000,337.3000,3623.2800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,8,1,7,2020-10-01T00:00:00.000,28163,0,48013,0,0,60832.0800,0.0000,180528.8800,0.0000,0.0000,24900.1500,266261.1100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,8,1,7,2020-11-01T00:00:00.000,23910,0,38703,0,0,51645.6000,0.0000,145523.2800,0.0000,0.0000,20331.5800,217500.4600
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,8,1,7,2020-12-01T00:00:00.000,20278,0,33204,0,0,43800.4800,0.0000,124847.0400,0.0000,0.0000,17392.3400,186039.8600
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,8,1,7,2021-01-01T00:00:00.000,24363,0,43054,0,0,54573.1200,0.0000,168341.1400,0.0000,0.0000,22965.2800,245879.5400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,8,1,7,2021-02-01T00:00:00.000,20091,0,33937,0,0,45003.8400,0.0000,132693.6700,0.0000,0.0000,18299.5800,195997.0900
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,7,0,7,2021-03-01T00:00:00.000,24968,0,42598,0,0,55928.3200,0.0000,166558.1800,0.0000,0.0000,22914.0700,245400.5700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,7,0,7,2021-04-01T00:00:00.000,29327,0,50426,0,0,65692.4800,0.0000,197165.6600,0.0000,0.0000,27073.8600,289932.0000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,School Food Authority,13,4,027-904,BURNET,7,0,7,2021-05-01T00:00:00.000,27820,0,46864,0,0,62316.8000,0.0000,183238.2400,0.0000,0.0000,25287.0300,270842.0700
