odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
01551_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01551,WICHITA FALLS AREA FOOD BANK,Private Non Profit Organization,Private Nonprofit,9,2,243-,WICHITA,6,0,6,2023-06-01T00:00:00.000,0,0,6096,5289,0,0.0000,0.0000,27310.0800,5500.5600,0.0000,3051.7900,35862.4300
01551_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01551,WICHITA FALLS AREA FOOD BANK,Private Non Profit Organization,Private Nonprofit,9,2,243-,WICHITA,6,0,6,2023-07-01T00:00:00.000,0,0,5948,4644,0,0.0000,0.0000,26647.0400,4829.7600,0.0000,2911.8300,34388.6300
01551_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01551,WICHITA FALLS AREA FOOD BANK,Private Non Profit Organization,Private Nonprofit,9,2,243-,WICHITA,6,0,6,2023-08-01T00:00:00.000,0,0,1758,1309,0,0.0000,0.0000,7875.8400,1361.3600,0.0000,852.5200,10089.7200
01567_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01567,BREAKTHROUGH,Private Non Profit Organization,Private Nonprofit,13,4,227-,TRAVIS,2,0,2,2023-06-01T00:00:00.000,1157,0,1175,0,0,2973.4900,0.0000,5264.0000,0.0000,0.0000,692.5400,8930.0300
01567_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01567,BREAKTHROUGH,Private Non Profit Organization,Private Nonprofit,13,4,227-,TRAVIS,2,0,2,2023-07-01T00:00:00.000,1578,0,1697,0,0,4055.4600,0.0000,7602.5600,0.0000,0.0000,981.3800,12639.4000
01568_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01568,KICKAPOO TRADITIONAL TRIBE OF TEXAS,Indian Tribe,Unit of Government,20,4,159-,MAVERICK,1,0,1,2023-06-01T00:00:00.000,75,0,75,0,0,192.7500,0.0000,336.0000,0.0000,0.0000,54.3800,583.1300
01568_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01568,KICKAPOO TRADITIONAL TRIBE OF TEXAS,Indian Tribe,Unit of Government,20,4,159-,MAVERICK,1,0,1,2023-07-01T00:00:00.000,573,0,573,0,0,1472.6100,0.0000,2567.0400,0.0000,0.0000,415.4300,4455.0800
01568_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01568,KICKAPOO TRADITIONAL TRIBE OF TEXAS,Indian Tribe,Unit of Government,20,4,159-,MAVERICK,1,0,1,2023-08-01T00:00:00.000,235,0,235,0,0,603.9500,0.0000,1052.8000,0.0000,0.0000,170.3800,1827.1300
01576_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01576,"Central Texas Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,13,4,227-,TRAVIS,38,0,38,2023-06-01T00:00:00.000,2379,0,15565,11278,0,6114.0300,0.0000,69731.2000,11729.1200,0.0000,7723.9700,95298.3200
01576_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01576,"Central Texas Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,13,4,227-,TRAVIS,32,0,32,2023-07-01T00:00:00.000,0,0,1378,1284,0,0.0000,0.0000,6173.4400,1335.3600,0.0000,811.3700,8320.1700
01576_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01576,"Central Texas Food Bank, Inc.",Private Non Profit Organization,Private Nonprofit,13,4,227-,TRAVIS,25,0,25,2023-08-01T00:00:00.000,0,0,4223,4014,0,0.0000,0.0000,18919.0400,4174.5600,0.0000,2496.6000,25590.2000
01602_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01602,JEFFERSON COUNTY PRECINCT 4,Government Agency,Unit of Government,5,3,123-,JEFFERSON,2,0,2,2023-06-01T00:00:00.000,0,0,1138,0,0,0.0000,0.0000,5098.2400,0.0000,0.0000,488.7000,5586.9400
