programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00754,LUBBOCK-COOPER ISD,Educational Institution,Public,17,1,152-906,LUBBOCK,11,3,8,2020-11-01T00:00:00.000,17504,0,51280,0,0,39559.0400,0.0000,183582.4000,0.0000,0.0000,223141.4400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00803,HONDO ISD,Educational Institution,Public,20,4,163-904,MEDINA,4,0,4,2021-05-01T00:00:00.000,16351,0,17333,0,0,36953.2600,0.0000,62398.8000,0.0000,0.0000,99352.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00345,CLINT ISD,Educational Institution,Public,19,1,071-901,EL PASO,14,0,14,2021-03-01T00:00:00.000,100554,0,84948,0,0,190047.0600,0.0000,305812.8000,0.0000,0.0000,495859.8600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00379,ROBY CONS ISD,Educational Institution,Public,14,1,076-903,FISHER,1,0,1,2020-11-01T00:00:00.000,2596,0,2885,0,0,5866.9600,0.0000,10386.0000,0.0000,0.0000,16252.9600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00434,S AND S CISD,Educational Institution,Public,10,2,091-914,GRAYSON,3,2,1,2021-05-01T00:00:00.000,5966,0,13129,0,0,11649.8100,0.0000,47264.4000,0.0000,0.0000,58914.2100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00505,MEYERPARK ELEMENTARY,Educational Institution,Charter,4,3,101-855,HARRIS,1,1,0,2021-09-01T00:00:00.000,3218,0,4700,0,0,7924.3200,0.0000,20292.2500,0.0000,0.0000,28216.5700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00508,HARMONY PUBLIC SCHOOLS,Educational Institution,Charter,4,3,101-858,HARRIS,12,3,9,2021-03-01T00:00:00.000,14457,0,20587,0,0,30678.8900,0.0000,74113.2000,0.0000,0.0000,104792.0900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00549,HAYS CONS ISD,Educational Institution,Public,13,4,105-906,HAYS,39,14,25,2021-04-01T00:00:00.000,95618,0,162093,0,0,212717.8400,0.0000,583534.8000,0.0000,0.0000,796252.6400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00023,LYTLE ISD,Educational Institution,Public,20,4,007-904,ATASCOSA,4,1,3,2020-12-01T00:00:00.000,10841,0,15727,0,0,24500.6600,0.0000,56617.2000,0.0000,0.0000,81117.8600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00041,SKIDMORE-TYNAN ISD,Educational Institution,Public,2,5,013-905,BEE,1,1,0,2021-05-01T00:00:00.000,6973,0,9518,0,0,13178.9700,0.0000,34264.8000,0.0000,0.0000,47443.7700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00079,HARLANDALE ISD,Educational Institution,Public,20,4,015-904,BEXAR,36,9,27,2021-04-01T00:00:00.000,113696,0,106707,0,0,256952.9600,0.0000,384145.2000,0.0000,0.0000,641098.1600
