programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00097,MERIDIAN ISD,Educational Institution,Public,12,2,018-902,BOSQUE,1,2019-07-01T00:00:00.000,15,0,310,0,0,33.0000,0,1085.0000,0,0,1118.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00099,VALLEY MILLS ISD,Educational Institution,Public,12,2,018-904,BOSQUE,1,2019-06-01T00:00:00.000,206,0,310,0,0,440.8400,0,1050.9000,0,0,1491.7400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00104,HOOKS ISD,Educational Institution,Public,8,2,019-902,BOWIE,2,2019-06-01T00:00:00.000,769,0,960,0,0,1645.6600,0,3254.4000,0,0,4900.0600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00104,HOOKS ISD,Educational Institution,Public,8,2,019-902,BOWIE,2,2019-07-01T00:00:00.000,252,0,262,0,0,554.4000,0,917.0000,0,0,1471.4000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00106,TEXARKANA ISD,Educational Institution,Public,8,2,019-907,BOWIE,18,2019-06-01T00:00:00.000,9308,0,12909,0,0,19491.0700,0,43761.5100,0,0,63252.5800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00106,TEXARKANA ISD,Educational Institution,Public,8,2,019-907,BOWIE,11,2019-07-01T00:00:00.000,3198,0,4448,0,0,6629.8800,0,15568.0000,0,0,22197.8800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00106,TEXARKANA ISD,Educational Institution,Public,8,2,019-907,BOWIE,1,2019-08-01T00:00:00.000,30,0,30,0,0,66.0000,0,105.0000,0,0,171.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00107,LIBERTY-EYLAU ISD,Educational Institution,Public,8,2,019-908,BOWIE,3,2019-06-01T00:00:00.000,2324,0,3871,0,0,4973.3600,0,13122.6900,0,0,18096.0500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00107,LIBERTY-EYLAU ISD,Educational Institution,Public,8,2,019-908,BOWIE,1,2019-07-01T00:00:00.000,1746,0,2511,0,0,3841.2000,0,8788.5000,0,0,12629.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00107,LIBERTY-EYLAU ISD,Educational Institution,Public,8,2,019-908,BOWIE,1,2019-08-01T00:00:00.000,330,0,330,0,0,726.0000,0,1155.0000,0,0,1881.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,Public,4,3,020-901,BRAZORIA,10,2019-06-01T00:00:00.000,10018,0,17574,0,0,21438.5200,0,59575.8600,0,0,81014.3800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,Public,4,3,020-901,BRAZORIA,7,2019-07-01T00:00:00.000,1479,0,2117,0,0,3253.8000,0,7409.5000,0,0,10663.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,Public,4,3,020-901,BRAZORIA,1,2019-08-01T00:00:00.000,59,0,91,0,0,129.8000,0,318.5000,0,0,448.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00113,ANGLETON ISD,Educational Institution,Public,4,3,020-902,BRAZORIA,3,2019-06-01T00:00:00.000,3785,0,8540,0,0,8099.9000,0,28950.6000,0,0,37050.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00113,ANGLETON ISD,Educational Institution,Public,4,3,020-902,BRAZORIA,2,2019-07-01T00:00:00.000,747,0,4981,0,0,1643.4000,0,17433.5000,0,0,19076.9000
