odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
03949-0052,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0052,Pine Club Apartments,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0052,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0052,Pine Club Apartments,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0053,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0053,Grace Lake,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,15,105,105,0,0,0,0,0,0,0,105,0,0,0,0,0
03949-0053,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0053,Grace Lake,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,20,190,190,0,0,0,0,0,0,0,190,0,0,0,0,0
03949-0053,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0053,Grace Lake,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,3,30,30,0,0,0,0,0,0,0,30,0,0,0,0,0
03949-0055,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0055,Stone Hearst Community Apartments,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,20,229,240,0,0,0,0,0,0,0,240,0,0,11,0,0
03949-0055,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0055,Stone Hearst Community Apartments,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,18,197,213,0,0,0,0,0,0,0,213,0,0,16,0,0
03949-0055,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0055,Stone Hearst Community Apartments,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,5,38,40,0,0,0,0,0,0,0,40,0,0,2,0,0
03949-0056,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0056,Sunlight Manor,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,3,12,12,0,0,0,3,12,12,0,0,0,0,0,0,0,24,0,0,0,0,0
03949-0056,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0056,Sunlight Manor,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,10,15,15,0,0,0,10,24,24,0,0,0,0,0,0,0,39,0,0,0,0,0
